label,score
regular,0.800178
regular,0.329425
regular,0.903456
regular,0.895225
regular,0.893203
regular,0.859933
regular,0.842828
regular,0.302709
regular,0.920023
regular,0.9175
regular,0.899542
regular,0.888805
regular,0.911742
regular,0.903573
regular,0.89762
regular,0.791217
regular,0.921458
regular,0.914398
regular,0.793411
regular,0.705749
regular,0.45109
regular,0.384017
regular,0.890756
regular,0.857834
regular,0.73451
regular,0.729602
regular,0.898978
regular,0.898146
regular,0.774138
regular,0.930825
regular,0.883499
regular,0.848373
regular,0.331207
regular,0.912279
regular,0.901334
regular,0.894421
regular,0.892871
regular,0.856149
regular,0.854839
regular,0.903212
regular,0.893607
regular,0.886286
regular,0.874068
regular,0.840005
regular,0.904391
regular,0.895391
regular,0.886084
regular,0.873288
regular,0.918196
regular,0.867327
regular,0.860824
regular,0.760291
regular,0.894354
regular,0.894213
regular,0.858091
regular,0.728376
regular,0.623212
regular,0.910387
regular,0.90857
regular,0.898741
regular,0.858828
regular,0.901023
regular,0.895615
regular,0.888964
regular,0.826859
regular,0.313357
split,0.899298
split,0.890304
split,0.889045
split,0.884669
split,0.884072
split,0.876908
split,0.862248
split,0.857637
split,0.710574
split,0.518809
split,0.9191
split,0.916519
split,0.91304
split,0.891844
split,0.889708
split,0.888503
split,0.8798
split,0.876915
split,0.86291
split,0.860821
split,0.648596
split,0.546314
split,0.497143
split,0.912345
split,0.911559
split,0.907142
split,0.901962
split,0.888118
split,0.8874
split,0.887145
split,0.884531
split,0.610107
split,0.900889
split,0.90027
split,0.899911
split,0.898401
split,0.898399
split,0.891777
split,0.890207
split,0.678618
split,0.611853
split,0.91148
split,0.894736
split,0.886088
split,0.885994
split,0.882865
split,0.876376
split,0.875233
split,0.862114
split,0.782808
split,0.728024
split,0.708433
split,0.580583
split,0.925975
split,0.900268
split,0.898887
split,0.895443
split,0.895366
split,0.891879
split,0.891574
split,0.882557
split,0.873509
split,0.87013
split,0.901814
split,0.901353
split,0.896418
split,0.893185
split,0.893158
split,0.888603
split,0.878503
split,0.875581
split,0.870099
split,0.86758
split,0.643714
split,0.498869
split,0.914033
split,0.912642
split,0.907196
split,0.897259
split,0.896175
split,0.893711
split,0.891477
split,0.867285
split,0.862656
split,0.847178
split,0.845433
split,0.746626
split,0.915399
split,0.911331
split,0.90828
split,0.899632
split,0.89862
split,0.893408
split,0.889617
split,0.889434
split,0.879763
split,0.853115
split,0.714696
split,0.65665
split,0.91743
split,0.906812
split,0.904683
split,0.904033
split,0.896952
split,0.896218
split,0.894906
split,0.878972
split,0.867555
split,0.847601
split,0.438247
split,0.909179
split,0.902949
split,0.902128
split,0.900882
split,0.894073
split,0.885747
split,0.881549
split,0.871588
split,0.813325
split,0.918217
split,0.905137
split,0.892139
split,0.891014
split,0.889416
split,0.882576
split,0.864754
split,0.863381
split,0.858522
split,0.905004
split,0.902395
split,0.900115
split,0.899564
split,0.885833
split,0.87451
split,0.865657
split,0.851624
split,0.821441
split,0.913471
split,0.911051
split,0.907504
split,0.903614
split,0.900321
split,0.898146
split,0.894988
split,0.891392
split,0.885012
split,0.870376
split,0.809463
split,0.924713
split,0.909415
split,0.904122
split,0.896288
split,0.892423
split,0.888992
split,0.888001
split,0.861416
split,0.799862
split,0.908608
split,0.895603
split,0.894364
split,0.890933
split,0.886388
split,0.885686
split,0.884003
split,0.82882
split,0.800215
split,0.356274
split,0.281954
split,0.904685
split,0.898222
split,0.896134
split,0.892663
split,0.88529
split,0.884227
split,0.871848
split,0.865599
split,0.86377
split,0.843368
split,0.833214
split,0.533757
split,0.896727
split,0.894706
split,0.88982
split,0.874888
split,0.872283
split,0.869765
split,0.854982
split,0.833702
split,0.6789
split,0.91086
split,0.899853
split,0.891897
split,0.886848
split,0.885295
split,0.88491
split,0.877129
split,0.84875
split,0.824921
split,0.724479
split,0.319073
split,0.923496
split,0.905681
split,0.897424
split,0.8965
split,0.895949
split,0.881762
split,0.878775
split,0.867243
split,0.848306
split,0.396265
split,0.910912
split,0.901166
split,0.887953
split,0.883669
split,0.875963
split,0.875011
split,0.873196
split,0.867695
split,0.857885
split,0.90433
split,0.900178
split,0.891044
split,0.887112
split,0.883919
split,0.878176
split,0.871998
split,0.863606
split,0.862281
split,0.912857
split,0.91238
split,0.904891
split,0.90452
split,0.902284
split,0.898277
split,0.896353
split,0.882745
split,0.857968
split,0.336876
split,0.923438
split,0.918547
split,0.901768
split,0.896018
split,0.895755
split,0.886562
split,0.876761
split,0.871718
split,0.85683
split,0.785561
split,0.47236
split,0.919464
split,0.897389
split,0.891338
split,0.8886
split,0.887187
split,0.884564
split,0.883593
split,0.877889
split,0.873372
split,0.863853
split,0.836748
split,0.656545
split,0.911044
split,0.905408
split,0.901964
split,0.89787
split,0.896879
split,0.892998
split,0.889491
split,0.885522
split,0.854909
split,0.657416
split,0.450115
split,0.929107
split,0.911286
split,0.906636
split,0.903061
split,0.901639
split,0.901306
split,0.898508
split,0.875893
split,0.589766
split,0.5147
split,0.91778
split,0.909641
split,0.907098
split,0.906884
split,0.906492
split,0.896438
split,0.893282
split,0.863313
split,0.83908
split,0.812607
split,0.62568
split,0.90798
split,0.906121
split,0.897156
split,0.894556
split,0.894065
split,0.893693
split,0.883827
split,0.882158
split,0.640594
split,0.42522
split,0.255565
split,0.91156
split,0.901049
split,0.899728
split,0.895399
split,0.89276
split,0.889524
split,0.882664
split,0.878624
split,0.859276
split,0.843699
split,0.623124
split,0.607621
split,0.907093
split,0.901946
split,0.901364
split,0.894665
split,0.89366
split,0.891266
split,0.89106
split,0.876732
